"Locale","StoreLocale","Title","ShortDescription","Description","Feature1","Feature2","Feature3","Feature4","Feature5","Keyword1","Keyword2","Keyword3","Keyword4","Keyword5","Keyword6","Keyword7"
"km-KH","km-KH","JoeSSH","Public Beta ឥតគិតថ្លៃ និងប្រភពបើកចំហ សម្រាប់ SSH, SFTP និងការបញ្ជូនច្រកក្នុង Windows x64។","JoeSSH គឺជា Public Beta ឥតគិតថ្លៃ និងប្រភពបើកចំហ សម្រាប់ការងារ SSH ក្នុងម៉ាស៊ីនលើ Windows x64។ ភ្ជាប់ទៅម៉ាស៊ីនមេដែលអ្នកមានសិទ្ធិប្រើ ពិនិត្យសោម៉ាស៊ីន ប្រើស្ថានីយអន្តរកម្ម ផ្ទេរឯកសារតាម SFTP និងគ្រប់គ្រងការបញ្ជូនច្រកក្នុងម៉ាស៊ីន។ ប្រវត្តិរូប និងចំណូលចិត្តត្រូវបានរក្សាទុកលើឧបករណ៍នេះតាមលំនាំដើម។ មិនត្រូវការគណនី JoeSSH ឬសេវាបង្ហោះទេ។","ពិនិត្យសោម៉ាស៊ីន SSH","ស្ថានីយអន្តរកម្ម","ផ្ទេរ SFTP រហូតដល់ 25 MiB","បញ្ជូនច្រកក្នុងម៉ាស៊ីនតាម loopback ប៉ុណ្ណោះ","ប្រវត្តិរូបការតភ្ជាប់ក្នុងម៉ាស៊ីន","SSH","SFTP","ស្ថានីយអន្តរកម្ម","បញ្ជូនច្រកក្នុងម៉ាស៊ីនតាម loopback","ប្រវត្តិរូបការតភ្ជាប់ក្នុងម៉ាស៊ីន","Windows","Public Beta"
"ko-KR","ko-KR","JoeSSH","Windows x64에서 로컬 우선 SSH, SFTP 및 포트 전달을 사용하는 무료 오픈 소스 Public Beta입니다.","JoeSSH는 Windows x64에서 로컬 SSH 작업을 위한 무료 오픈 소스 Public Beta입니다. 사용 권한이 있는 서버에 연결하고, 호스트 키를 검토하고, 대화형 터미널을 사용하고, SFTP로 파일을 전송하고, 로컬 포트 전달을 관리할 수 있습니다. 연결 프로필과 기본 설정은 기본적으로 이 장치에 저장됩니다. JoeSSH 계정이나 호스팅 서비스는 필요하지 않습니다.","SSH 호스트 키 검토","대화형 터미널","최대 25 MiB SFTP 전송","loopback 전용 로컬 포트 전달","로컬 연결 프로필","SSH","SFTP","대화형 터미널","로컬 포트 전달","로컬 연결 프로필","Windows","Public Beta"
"lo-LA","lo-LA","JoeSSH","Public Beta ຟຣີ ແລະເປີດແຫຼ່ງ ສຳລັບ SSH, SFTP ແລະການສົ່ງຕໍ່ພອດໃນ Windows x64.","JoeSSH ແມ່ນ Public Beta ຟຣີ ແລະເປີດແຫຼ່ງ ສຳລັບວຽກ SSH ທ້ອງຖິ່ນໃນ Windows x64. ເຊື່ອມຕໍ່ເຊີບເວີທີ່ທ່ານມີສິດໃຊ້, ກວດເບິ່ງກຸນແຈໂຮສຕ໌, ໃຊ້ສະຖານີປະຕິສຳພັນ, ໂອນໄຟລ໌ດ້ວຍ SFTP ແລະຈັດການການສົ່ງຕໍ່ພອດທ້ອງຖິ່ນ. ໂປຣໄຟລ໌ແລະຄ່າກຳນົດຈະຖືກເກັບໄວ້ໃນອຸປະກອນນີ້ໂດຍຄ່າເລີ່ມຕົ້ນ. ບໍ່ຕ້ອງການບັນຊີ JoeSSH ຫຼືບໍລິການໂຮສຕ໌.","ກວດກຸນແຈໂຮສຕ໌ SSH","ສະຖານີປະຕິສຳພັນ","ການໂອນ SFTP ເຖິງ 25 MiB","ສົ່ງຕໍ່ພອດທ້ອງຖິ່ນຜ່ານ loopback ເທົ່ານັ້ນ","ໂປຣໄຟລ໌ການເຊື່ອມຕໍ່ທ້ອງຖິ່ນ","SSH","SFTP","ສະຖານີປະຕິສຳພັນ","ສົ່ງຕໍ່ພອດທ້ອງຖິ່ນຜ່ານ loopback","ໂປຣໄຟລ໌ການເຊື່ອມຕໍ່ທ້ອງຖິ່ນ","Windows","Public Beta"
"lv-LV","lv-LV","JoeSSH","Bezmaksas atvērtā pirmkoda Public Beta lokālam SSH, SFTP un portu pāradresācijai operētājsistēmā Windows x64.","JoeSSH ir bezmaksas atvērtā pirmkoda Public Beta lokālam SSH darbam operētājsistēmā Windows x64. Izveidojiet savienojumu ar serveri, kuru drīkstat izmantot, pārbaudiet resursdatora atslēgas, lietojiet interaktīvu termināli, pārsūtiet failus ar SFTP un pārvaldiet lokālu portu pāradresāciju. Profili un iestatījumi pēc noklusējuma paliek šajā ierīcē. JoeSSH konts vai mitināts pakalpojums nav vajadzīgs.","SSH resursdatora atslēgas pārbaude","Interaktīvs terminālis","SFTP pārsūtīšana līdz 25 MiB","Lokāla portu pāradresācija tikai caur loopback","Lokālie savienojumu profili","SSH","SFTP","Interaktīvs terminālis","Lokāla portu pāradresācija","Lokālie savienojumu profili","Windows","Public Beta"
"lt-LT","lt-LT","JoeSSH","Nemokama atvirojo kodo Public Beta vietiniam SSH, SFTP ir prievadų persiuntimui sistemoje Windows x64.","JoeSSH yra nemokama atvirojo kodo Public Beta vietiniam SSH darbui sistemoje Windows x64. Prisijunkite prie serverio, kurį turite teisę naudoti, peržiūrėkite pagrindinio kompiuterio raktus, naudokite interaktyvų terminalą, perkelkite failus naudodami SFTP ir valdykite vietinį prievadų persiuntimą. Profiliai ir nuostatos pagal numatytuosius parametrus lieka šiame įrenginyje. JoeSSH paskyros ar priglobtos paslaugos nereikia.","SSH pagrindinio kompiuterio rakto peržiūra","Interaktyvus terminalas","SFTP perkėlimai iki 25 MiB","Vietinis prievadų persiuntimas tik per loopback","Vietiniai ryšio profiliai","SSH","SFTP","Interaktyvus terminalas","Vietinis prievadų persiuntimas","Vietiniai ryšio profiliai","Windows","Public Beta"
"mk-MK","mk-MK","JoeSSH","Бесплатна Public Beta со отворен код за локален SSH, SFTP и препраќање порти на Windows x64.","JoeSSH е бесплатна Public Beta со отворен код за локална SSH работа на Windows x64. Поврзете се со сервер за кој имате дозвола, проверете ги клучевите на домаќинот, користете интерактивен терминал, пренесувајте датотеки со SFTP и управувајте со локалното препраќање порти. Профилите и поставките стандардно остануваат на овој уред. Не се потребни JoeSSH сметка или хостирана услуга.","Преглед на SSH клучот на домаќинот","Интерактивен терминал","SFTP преноси до 25 MiB","Локално препраќање порти само преку loopback","Локални профили за врска","SSH","SFTP","Интерактивен терминал","Локално препраќање порти","Локални профили","Windows","Public Beta"
"ms-MY","ms-MY","JoeSSH","Public Beta percuma dan sumber terbuka untuk SSH tempatan, SFTP dan pemajuan port pada Windows x64.","JoeSSH ialah Public Beta percuma dan sumber terbuka untuk kerja SSH tempatan pada Windows x64. Sambung ke pelayan yang anda dibenarkan gunakan, semak kunci hos, gunakan terminal interaktif, pindahkan fail dengan SFTP dan urus pemajuan port tempatan. Profil dan pilihan disimpan pada peranti ini secara lalai. Akaun JoeSSH atau perkhidmatan dihoskan tidak diperlukan.","Semakan kunci hos SSH","Terminal interaktif","Pemindahan SFTP sehingga 25 MiB","Pemajuan port tempatan melalui loopback sahaja","Profil sambungan tempatan","SSH","SFTP","Terminal interaktif","Pemajuan port","Profil sambungan","Windows","Public Beta"
"ml-IN","ml-IN","JoeSSH","Windows x64-ൽ പ്രാദേശിക SSH, SFTP, പോർട്ട് ഫോർവേഡിംഗ് എന്നിവയ്ക്കുള്ള സൗജന്യ ഓപ്പൺ സോഴ്‌സ് Public Beta.","Windows x64-ൽ പ്രാദേശിക SSH പ്രവർത്തനത്തിനുള്ള സൗജന്യവും ഓപ്പൺ സോഴ്‌സുമായ Public Beta ആണ് JoeSSH. നിങ്ങൾക്ക് അനുമതിയുള്ള സെർവറിലേക്ക് കണക്റ്റ് ചെയ്യുക, ഹോസ്റ്റ് കീകൾ പരിശോധിക്കുക, ഇന്ററാക്ടീവ് ടെർമിനൽ ഉപയോഗിക്കുക, SFTP വഴി ഫയലുകൾ കൈമാറുക, പ്രാദേശിക പോർട്ട് ഫോർവേഡിംഗ് നിയന്ത്രിക്കുക. പ്രൊഫൈലുകളും മുൻഗണനകളും ഡിഫോൾട്ടായി ഈ ഉപകരണത്തിൽ തന്നെ സൂക്ഷിക്കും. JoeSSH അക്കൗണ്ടോ ഹോസ്റ്റ് ചെയ്ത സേവനമോ ആവശ്യമില്ല.","SSH ഹോസ്റ്റ് കീ പരിശോധന","ഇന്ററാക്ടീവ് ടെർമിനൽ","25 MiB വരെ SFTP കൈമാറ്റം","loopback മാത്രം ഉപയോഗിക്കുന്ന പ്രാദേശിക പോർട്ട് ഫോർവേഡിംഗ്","പ്രാദേശിക കണക്ഷൻ പ്രൊഫൈലുകൾ","SSH","SFTP","ഇന്ററാക്ടീവ് ടെർമിനൽ","പ്രാദേശിക പോർട്ട് ഫോർവേഡിംഗ്","പ്രാദേശിക കണക്ഷൻ പ്രൊഫൈലുകൾ","Windows","Public Beta"
"nb-NO","nb-NO","JoeSSH","Gratis Public Beta med åpen kildekode for lokal SSH, SFTP og portvideresending på Windows x64.","JoeSSH er en gratis Public Beta med åpen kildekode for lokalt SSH-arbeid på Windows x64. Koble til en server du har tillatelse til å bruke, gjennomgå vertsnøkler, bruk en interaktiv terminal, overfør filer med SFTP og administrer lokal portvideresending. Profiler og innstillinger lagres som standard på denne enheten. Du trenger ikke JoeSSH-konto eller en hostet tjeneste.","Gjennomgang av SSH-vertsnøkkel","Interaktiv terminal","SFTP-overføringer opptil 25 MiB","Lokal portvideresending bare via loopback","Lokale tilkoblingsprofiler","SSH","SFTP","Interaktiv terminal","Lokal portvideresending","Lokale tilkoblingsprofiler","Windows","Public Beta"
"es-ES","es-ES","JoeSSH","Public Beta gratuita y de código abierto para SSH local, SFTP y reenvío de puertos en Windows x64.","JoeSSH es una Public Beta gratuita y de código abierto para trabajar con SSH local en Windows x64. Conéctate a un servidor que tengas autorizado a usar, revisa las claves del host, utiliza un terminal interactivo, transfiere archivos con SFTP y gestiona reenvíos de puertos locales. Los perfiles y las preferencias se guardan de forma predeterminada en este dispositivo. No necesitas una cuenta de JoeSSH ni un servicio alojado.","Revisión de la clave del host SSH","Terminal interactivo","Transferencias SFTP de hasta 25 MiB","Reenvío de puertos local solo mediante loopback","Perfiles de conexión locales","SSH","SFTP","Terminal interactivo","Reenvío de puertos","Perfiles de conexión","Windows","Public Beta"
"es-MX","es-MX","JoeSSH","Public Beta gratis y de código abierto para SSH local, SFTP y reenvío de puertos en Windows x64.","JoeSSH es una Public Beta gratis y de código abierto para trabajar con SSH local en Windows x64. Conéctate a un servidor que tengas autorizado a usar, revisa las claves del host, usa una terminal interactiva, transfiere archivos con SFTP y administra el reenvío de puertos local. Los perfiles y las preferencias se guardan de forma predeterminada en este dispositivo. No necesitas una cuenta de JoeSSH ni un servicio alojado.","Revisión de la clave del host SSH","Terminal interactiva","Transferencias SFTP de hasta 25 MiB","Reenvío de puertos local solo mediante loopback","Perfiles de conexión locales","SSH","SFTP","Terminal interactiva","Reenvío de puertos","Perfiles de conexión","Windows","Public Beta"
"pl-PL","pl-PL","JoeSSH","Bezpłatna, otwartoźródłowa Public Beta do lokalnego SSH, SFTP i przekierowania portów w Windows x64.","JoeSSH to bezpłatna, otwartoźródłowa Public Beta do lokalnej pracy z SSH w Windows x64. Połącz się z serwerem, do którego masz uprawnienia, sprawdź klucze hosta, użyj interaktywnego terminala, przesyłaj pliki przez SFTP i zarządzaj lokalnym przekierowaniem portów. Profile i preferencje są domyślnie przechowywane na tym urządzeniu. Konto JoeSSH ani hostowana usługa nie są wymagane.","Weryfikacja klucza hosta SSH","Interaktywny terminal","Transfery SFTP do 25 MiB","Lokalne przekierowanie portów tylko przez loopback","Lokalne profile połączeń","SSH","SFTP","Interaktywny terminal","Lokalne przekierowanie portów","Lokalne profile","Windows","Public Beta"
"pt-BR","pt-BR","JoeSSH","Public Beta gratuita e de código aberto para SSH local, SFTP e encaminhamento de portas no Windows x64.","JoeSSH é uma Public Beta gratuita e de código aberto para trabalho com SSH local no Windows x64. Conecte-se a um servidor que você está autorizado a usar, revise as chaves do host, use um terminal interativo, transfira arquivos com SFTP e gerencie encaminhamentos de portas locais. Perfis e preferências ficam neste dispositivo por padrão. Não é necessária uma conta JoeSSH nem um serviço hospedado.","Revisão da chave do host SSH","Terminal interativo","Transferências SFTP de até 25 MiB","Encaminhamento de portas local somente por loopback","Perfis de conexão locais","SSH","SFTP","Terminal interativo","Encaminhamento de portas","Perfis de conexão","Windows","Public Beta"
"pt-PT","pt-PT","JoeSSH","Public Beta gratuita e de código aberto para SSH local, SFTP e reencaminhamento de portas no Windows x64.","JoeSSH é uma Public Beta gratuita e de código aberto para trabalho com SSH local no Windows x64. Ligue-se a um servidor que está autorizado a utilizar, reveja as chaves do anfitrião, utilize um terminal interativo, transfira ficheiros com SFTP e faça a gestão do reencaminhamento de portas local. Os perfis e as preferências ficam neste dispositivo por predefinição. Não é necessária uma conta JoeSSH nem um serviço alojado.","Revisão da chave do anfitrião SSH","Terminal interativo","Transferências SFTP até 25 MiB","Reencaminhamento de portas local apenas por loopback","Perfis de ligação locais","SSH","SFTP","Terminal interativo","Reencaminhamento de portas","Perfis de ligação","Windows","Public Beta"
"ro-RO","ro-RO","JoeSSH","Public Beta gratuită și open source pentru SSH local, SFTP și redirecționarea porturilor în Windows x64.","JoeSSH este o Public Beta gratuită și open source pentru lucrul local cu SSH în Windows x64. Conectează-te la un server pe care ai voie să îl folosești, verifică cheile gazdei, utilizează un terminal interactiv, transferă fișiere prin SFTP și gestionează redirecționările locale de porturi. Profilurile și preferințele rămân implicit pe acest dispozitiv. Nu este necesar un cont JoeSSH sau un serviciu găzduit.","Verificarea cheii gazdei SSH","Terminal interactiv","Transferuri SFTP de până la 25 MiB","Redirecționare locală a porturilor doar prin loopback","Profiluri locale de conexiune","SSH","SFTP","Terminal interactiv","Redirecționare locală a porturilor","Profiluri locale","Windows","Public Beta"
"ru-RU","ru-RU","JoeSSH","Бесплатная Public Beta с открытым исходным кодом для локального SSH, SFTP и перенаправления портов в Windows x64.","JoeSSH — бесплатная Public Beta с открытым исходным кодом для локальной работы по SSH в Windows x64. Подключайтесь к серверу, которым вам разрешено пользоваться, проверяйте ключи узла, работайте в интерактивном терминале, передавайте файлы через SFTP и управляйте локальным перенаправлением портов. Профили и настройки по умолчанию остаются на этом устройстве. Учетная запись JoeSSH и размещенная служба не требуются.","Проверка ключа узла SSH","Интерактивный терминал","Передача по SFTP до 25 МиБ","Локальное перенаправление портов только через loopback","Локальные профили подключений","SSH","SFTP","Интерактивный терминал","Локальное перенаправление портов","Локальные профили","Windows","Public Beta"
"sk-SK","sk-SK","JoeSSH","Bezplatná Public Beta s otvoreným zdrojovým kódom pre lokálne SSH, SFTP a presmerovanie portov vo Windows x64.","JoeSSH je bezplatná Public Beta s otvoreným zdrojovým kódom na lokálnu prácu cez SSH vo Windows x64. Pripojte sa k serveru, ktorý smiete používať, skontrolujte kľúče hostiteľa, používajte interaktívny terminál, prenášajte súbory cez SFTP a spravujte miestne presmerovania portov. Profily a predvoľby zostávajú predvolene na tomto zariadení. Účet JoeSSH ani hostovaná služba nie sú potrebné.","Kontrola kľúča hostiteľa SSH","Interaktívny terminál","Prenosy SFTP do 25 MiB","Miestne presmerovanie portov iba cez loopback","Miestne profily pripojenia","SSH","SFTP","Interaktívny terminál","Miestne presmerovanie portov","Miestne profily","Windows","Public Beta"
"sl-SI","sl-SI","JoeSSH","Brezplačna odprtokodna Public Beta za lokalni SSH, SFTP in posredovanje vrat v sistemu Windows x64.","JoeSSH je brezplačna odprtokodna Public Beta za lokalno delo SSH v sistemu Windows x64. Povežite se s strežnikom, ki ga smete uporabljati, preglejte ključe gostitelja, uporabite interaktivni terminal, prenašajte datoteke prek SFTP in upravljajte lokalno posredovanje vrat. Profili in nastavitve se privzeto shranjujejo v tej napravi. Račun JoeSSH ali gostovana storitev nista potrebna.","Pregled ključa gostitelja SSH","Interaktivni terminal","Prenosi SFTP do 25 MiB","Lokalno posredovanje vrat samo prek loopback","Lokalni profili povezav","SSH","SFTP","Interaktivni terminal","Lokalno posredovanje vrat","Lokalni profili","Windows","Public Beta"
"sr-Latn-RS","sr-Latn-RS","JoeSSH","Besplatna Public Beta otvorenog koda za lokalni SSH, SFTP i prosleđivanje portova na Windows x64.","JoeSSH je besplatna Public Beta otvorenog koda za lokalni SSH rad na Windows x64. Povežite se sa serverom za koji imate dozvolu, pregledajte ključeve hosta, koristite interaktivni terminal, prenesite datoteke pomoću SFTP-a i upravljajte lokalnim prosleđivanjem portova. Profili i podešavanja se podrazumevano čuvaju na ovom uređaju. JoeSSH nalog ili hostovana usluga nisu potrebni.","Pregled SSH ključa hosta","Interaktivni terminal","SFTP prenosi do 25 MiB","Lokalno prosleđivanje samo preko loopback-a","Lokalni profili veza","SSH","SFTP","Interaktivni terminal","Lokalno prosleđivanje portova","Lokalni profili","Windows","Public Beta"
"sv-SE","sv-SE","JoeSSH","Gratis Public Beta med öppen källkod för lokal SSH, SFTP och portvidarebefordran i Windows x64.","JoeSSH är en gratis Public Beta med öppen källkod för lokalt SSH-arbete i Windows x64. Anslut till en server som du har rätt att använda, granska värdnycklar, använd en interaktiv terminal, överför filer med SFTP och hantera lokal portvidarebefordran. Profiler och inställningar sparas som standard på den här enheten. Inget JoeSSH-konto eller någon värdtjänst behövs.","Granskning av SSH-värdnyckel","Interaktiv terminal","SFTP-överföringar upp till 25 MiB","Lokal portvidarebefordran endast via loopback","Lokala anslutningsprofiler","SSH","SFTP","Interaktiv terminal","Lokal portvidarebefordran","Lokala anslutningsprofiler","Windows","Public Beta"
"ta-IN","ta-IN","JoeSSH","Windows x64 இல் உள்ளக SSH, SFTP மற்றும் துறைமுக முன்னனுப்பலுக்கான இலவச, திறந்த மூல Public Beta.","JoeSSH என்பது Windows x64 இல் உள்ளக SSH பணிக்கான இலவச திறந்த மூல Public Beta ஆகும். நீங்கள் அனுமதியுடன் பயன்படுத்தும் சேவையகத்துடன் இணைந்து, ஹோஸ்ட் விசைகளைச் சரிபார்த்து, ஊடாடும் முனையத்தைப் பயன்படுத்தி, SFTP மூலம் கோப்புகளை மாற்றி, உள்ளக துறைமுக முன்னனுப்பலை நிர்வகிக்கலாம். சுயவிவரங்களும் விருப்பங்களும் இயல்பாக இந்தச் சாதனத்தில் இருக்கும். JoeSSH கணக்கு அல்லது ஹோஸ்ட் செய்யப்பட்ட சேவை தேவையில்லை.","SSH ஹோஸ்ட் விசை சரிபார்ப்பு","ஊடாடும் முனையம்","25 MiB வரை SFTP மாற்றங்கள்","loopback மட்டும் உள்ளக துறைமுக முன்னனுப்பல்","உள்ளக இணைப்பு சுயவிவரங்கள்","SSH","SFTP","ஊடாடும் முனையம்","உள்ளக துறைமுக முன்னனுப்பல்","உள்ளக இணைப்பு சுயவிவரங்கள்","Windows","Public Beta"
"te-IN","te-IN","JoeSSH","Windows x64లో స్థానిక SSH, SFTP మరియు పోర్ట్ ఫార్వార్డింగ్ కోసం ఉచిత ఓపెన్-సోర్స్ Public Beta.","JoeSSH Windows x64లో స్థానిక SSH పని కోసం ఉచిత ఓపెన్-సోర్స్ Public Beta. మీకు అనుమతి ఉన్న సర్వర్‌కు కనెక్ట్ అవ్వండి, హోస్ట్ కీలు పరిశీలించండి, ఇంటరాక్టివ్ టెర్మినల్ ఉపయోగించండి, SFTPతో ఫైళ్లను బదిలీ చేయండి మరియు స్థానిక పోర్ట్ ఫార్వార్డింగ్ నిర్వహించండి. ప్రొఫైళ్లు, ప్రాధాన్యతలు డిఫాల్ట్‌గా ఈ పరికరంలోనే ఉంటాయి. JoeSSH ఖాతా లేదా హోస్ట్ చేసిన సేవ అవసరం లేదు.","SSH హోస్ట్ కీ పరిశీలన","ఇంటరాక్టివ్ టెర్మినల్","25 MiB వరకు SFTP బదిలీలు","loopback ద్వారా మాత్రమే స్థానిక పోర్ట్ ఫార్వార్డింగ్","స్థానిక కనెక్షన్ ప్రొఫైళ్లు","SSH","SFTP","ఇంటరాక్టివ్ టెర్మినల్","స్థానిక పోర్ట్ ఫార్వార్డింగ్","స్థానిక కనెక్షన్ ప్రొఫైళ్లు","Windows","Public Beta"
"th-TH","th-TH","JoeSSH","Public Beta แบบฟรีและโอเพนซอร์สสำหรับ SSH, SFTP และการส่งต่อพอร์ตภายในเครื่องบน Windows x64","JoeSSH คือ Public Beta แบบฟรีและโอเพนซอร์สสำหรับงาน SSH ภายในเครื่องบน Windows x64 เชื่อมต่อเซิร์ฟเวอร์ที่คุณได้รับอนุญาต ตรวจสอบคีย์โฮสต์ ใช้เทอร์มินัลแบบโต้ตอบ ถ่ายโอนไฟล์ด้วย SFTP และจัดการการส่งต่อพอร์ตภายในเครื่อง โปรไฟล์และการตั้งค่าจะเก็บไว้ในอุปกรณ์นี้เป็นค่าเริ่มต้น ไม่ต้องมีบัญชี JoeSSH หรือบริการโฮสต์","ตรวจสอบคีย์โฮสต์ SSH","เทอร์มินัลแบบโต้ตอบ","ถ่ายโอน SFTP ได้ถึง 25 MiB","ส่งต่อพอร์ตภายในเครื่องผ่าน loopback เท่านั้น","โปรไฟล์การเชื่อมต่อภายในเครื่อง","SSH","SFTP","เทอร์มินัลแบบโต้ตอบ","ส่งต่อพอร์ตภายในเครื่องผ่าน loopback","โปรไฟล์การเชื่อมต่อภายในเครื่อง","Windows","Public Beta"
"tr-TR","tr-TR","JoeSSH","Windows x64 üzerinde yerel SSH, SFTP ve bağlantı noktası yönlendirmesi için ücretsiz, açık kaynaklı Public Beta.","JoeSSH, Windows x64 üzerinde yerel SSH çalışması için ücretsiz ve açık kaynaklı bir Public Beta'dır. Kullanma izniniz olan bir sunucuya bağlanın, ana bilgisayar anahtarlarını inceleyin, etkileşimli terminali kullanın, dosyaları SFTP ile aktarın ve yerel bağlantı noktası yönlendirmelerini yönetin. Profiller ve tercihler varsayılan olarak bu cihazda tutulur. JoeSSH hesabı veya barındırılan hizmet gerekmez.","SSH ana bilgisayar anahtarını inceleme","Etkileşimli terminal","25 MiB'e kadar SFTP aktarımları","Yalnızca loopback üzerinden yerel bağlantı noktası yönlendirmesi","Yerel bağlantı profilleri","SSH","SFTP","Etkileşimli terminal","yerel bağlantı noktası yönlendirmesi","Yerel bağlantı profilleri","Windows","Public Beta"
"uk-UA","uk-UA","JoeSSH","Безкоштовна Public Beta з відкритим кодом для локального SSH, SFTP і перенаправлення портів у Windows x64.","JoeSSH — безкоштовна Public Beta з відкритим кодом для локальної роботи через SSH у Windows x64. Підключайтеся до сервера, яким вам дозволено користуватися, перевіряйте ключі вузла, працюйте в інтерактивному терміналі, передавайте файли через SFTP і керуйте локальним перенаправленням портів. Профілі та налаштування за замовчуванням залишаються на цьому пристрої. Обліковий запис JoeSSH або розміщена служба не потрібні.","Перевірка ключа вузла SSH","Інтерактивний термінал","Передавання через SFTP до 25 MiB","Локальне перенаправлення портів лише через loopback","Локальні профілі підключень","SSH","SFTP","Інтерактивний термінал","Локальне перенаправлення портів","Локальні профілі","Windows","Public Beta"
"vi-VN","vi-VN","JoeSSH","Public Beta miễn phí, mã nguồn mở cho SSH cục bộ, SFTP và chuyển tiếp cổng trên Windows x64.","JoeSSH là Public Beta miễn phí, mã nguồn mở cho công việc SSH cục bộ trên Windows x64. Kết nối đến máy chủ mà bạn được phép sử dụng, xem xét khóa máy chủ, dùng thiết bị đầu cuối tương tác, truyền tệp bằng SFTP và quản lý chuyển tiếp cổng cục bộ. Hồ sơ và tùy chọn mặc định được lưu trên thiết bị này. Không cần tài khoản JoeSSH hoặc dịch vụ được lưu trữ.","Xem xét khóa máy chủ SSH","Thiết bị đầu cuối tương tác","Truyền SFTP tối đa 25 MiB","Chuyển tiếp cổng cục bộ chỉ qua loopback","Hồ sơ kết nối cục bộ","SSH","SFTP","Thiết bị đầu cuối","Chuyển tiếp cổng cục bộ","Hồ sơ kết nối cục bộ","Windows","Public Beta"
"as-IN","as-IN","JoeSSH","Windows x64-ত স্থানীয় SSH, SFTP আৰু প’ৰ্ট ফৰৱাৰ্ডিঙৰ বাবে বিনামূলীয়া মুক্ত-উৎস Public Beta।","JoeSSH Windows x64-ত স্থানীয় SSH কামৰ বাবে বিনামূলীয়া মুক্ত-উৎস Public Beta। আপোনাৰ অনুমতি থকা ছাৰ্ভাৰত সংযোগ কৰক, হ’ষ্ট কী পৰীক্ষা কৰক, ইণ্টাৰেক্টিভ টাৰ্মিনেল ব্যৱহাৰ কৰক, SFTP-ৰে ফাইল স্থানান্তৰ কৰক আৰু স্থানীয় প’ৰ্ট ফৰৱাৰ্ডিং পৰিচালনা কৰক। প্ৰ’ফাইল আৰু পছন্দসমূহ ডিফ’ল্টভাৱে এই ডিভাইচতে থাকে। JoeSSH একাউণ্ট বা হ’ষ্টেড সেৱা নালাগে।","SSH হ’ষ্ট কী পৰীক্ষা","ইণ্টাৰেক্টিভ টাৰ্মিনেল","২৫ MiB লৈকে SFTP স্থানান্তৰ","কেৱল loopback স্থানীয় প’ৰ্ট ফৰৱাৰ্ডিং","স্থানীয় সংযোগ প্ৰ’ফাইল","SSH","SFTP","ইণ্টাৰেক্টিভ টাৰ্মিনেল","স্থানীয় প’ৰ্ট ফৰৱাৰ্ডিং","স্থানীয় সংযোগ প্ৰ’ফাইল","Windows","Public Beta"
"bn-IN","bn-IN","JoeSSH","Windows x64-এ স্থানীয় SSH, SFTP এবং পোর্ট ফরওয়ার্ডিংয়ের জন্য বিনামূল্যের ওপেন-সোর্স Public Beta।","JoeSSH হল Windows x64-এ স্থানীয় SSH কাজের জন্য বিনামূল্যের ওপেন-সোর্স Public Beta। আপনার অনুমোদিত সার্ভারে সংযোগ করুন, হোস্ট কী পর্যালোচনা করুন, ইন্টার‌্যাক্টিভ টার্মিনাল ব্যবহার করুন, SFTP দিয়ে ফাইল স্থানান্তর করুন এবং স্থানীয় পোর্ট ফরওয়ার্ডিং পরিচালনা করুন। প্রোফাইল ও পছন্দ ডিফল্টভাবে এই ডিভাইসেই থাকে। JoeSSH অ্যাকাউন্ট বা হোস্ট করা পরিষেবা দরকার নেই।","SSH হোস্ট কী পর্যালোচনা","ইন্টার‌্যাক্টিভ টার্মিনাল","২৫ MiB পর্যন্ত SFTP স্থানান্তর","শুধু loopback স্থানীয় পোর্ট ফরওয়ার্ডিং","স্থানীয় সংযোগ প্রোফাইল","SSH","SFTP","ইন্টার‌্যাক্টিভ টার্মিনাল","স্থানীয় পোর্ট ফরওয়ার্ডিং","স্থানীয় সংযোগ প্রোফাইল","Windows","Public Beta"
"ka-GE","ka-GE","JoeSSH","უფასო ღია კოდის Public Beta Windows x64-ზე ლოკალური SSH-ის, SFTP-ისა და პორტების გადამისამართებისთვის.","JoeSSH არის უფასო ღია კოდის Public Beta Windows x64-ზე ლოკალური SSH მუშაობისთვის. დაუკავშირდით სერვერს, რომლის გამოყენების უფლებაც გაქვთ, შეამოწმეთ ჰოსტის გასაღებები, გამოიყენეთ ინტერაქტიული ტერმინალი, გადაიტანეთ ფაილები SFTP-ით და მართეთ ლოკალური პორტების გადამისამართება. პროფილები და პარამეტრები ნაგულისხმევად ამ მოწყობილობაზე ინახება. JoeSSH-ის ანგარიში ან ჰოსტირებული სერვისი საჭირო არ არის.","SSH ჰოსტის გასაღების შემოწმება","ინტერაქტიული ტერმინალი","SFTP გადატანები 25 MiB-მდე","ლოკალური პორტების გადამისამართება მხოლოდ loopback-ით","ლოკალური კავშირის პროფილები","SSH","SFTP","ინტერაქტიული ტერმინალი","ლოკალური პორტების გადამისამართება","ლოკალური კავშირის პროფილები","Windows","Public Beta"
