"Locale","StoreLocale","SourceName","LanguageName","NativeName","AppUiSupported","AppUiLocale","ReviewRequired","MappingNote","Title","ShortDescription","FullDescription","Feature1","Feature2","Feature3","Feature4","Feature5","Keyword1","Keyword2","Keyword3","Keyword4","Keyword5","Keyword6","Keyword7","ContentSha256","ReviewStatus","Reviewer","ReviewedAt","Provenance","ScreenshotEvidence"
"it-IT","it-IT","意大利语","Italian","Italiano","false","","false","","JoeSSH","Public Beta gratuita e open source per SSH locale, SFTP e inoltro delle porte su Windows x64.","JoeSSH è una Public Beta gratuita e open source per il lavoro SSH locale su Windows x64. Collegati a un server che sei autorizzato a usare, controlla le chiavi host, usa un terminale interattivo, trasferisci file con SFTP e gestisci gli inoltri delle porte locali. I profili e le preferenze restano per impostazione predefinita su questo dispositivo. Non servono un account JoeSSH o un servizio ospitato.","Controllo della chiave host SSH","Terminale interattivo","Trasferimenti SFTP fino a 25 MiB","Inoltro porte locale solo tramite loopback","Profili di connessione locali","SSH","SFTP","Terminale interattivo","Inoltro porte","Profili di connessione","Windows","Public Beta","677ad374bd5572b45d5f24e9f1983f4222cbd4a249e841df6ae32846fd1756e8","translation-draft","","","",""
"ja-JP","ja-JP","日语","Japanese","日本語","true","ja","false","","JoeSSH","Windows x64 でローカル優先の SSH、SFTP、ポート転送を使える無料オープンソース Public Beta。","JoeSSH は Windows x64 でローカル SSH 作業を行うための無料オープンソース Public Beta です。利用を許可されたサーバーに接続し、ホストキーを確認し、対話型ターミナルを使い、SFTP でファイルを転送し、ローカルポート転送を管理できます。接続プロファイルと設定は既定でこのデバイスに保存されます。JoeSSH アカウントやホスト型サービスは必要ありません。","SSH ホストキーの確認","対話型ターミナル","25 MiB までの SFTP 転送","loopback のみのローカルポート転送","ローカル接続プロファイル","SSH","SFTP","対話型ターミナル","loopback のみのローカルポート転送","ローカル接続プロファイル","Windows","Public Beta","985d183af8423dc4628ee93f597365b3f15278ac502fc8a39898a05e2f1dddf6","translation-draft","","","",""
"kn-IN","kn-IN","埃纳德语","Kannada (provisional mapping)","ಕನ್ನಡ","false","","true","用户名称“埃纳德语”按 Kannada/卡纳达语暂映射；提交前必须人工确认。","JoeSSH","Windows x64 ನಲ್ಲಿ ಸ್ಥಳೀಯ SSH, SFTP ಮತ್ತು ಪೋರ್ಟ್ ಫಾರ್ವರ್ಡಿಂಗ್‌ಗಾಗಿ ಉಚಿತ, ಮುಕ್ತ ಮೂಲದ Public Beta.","JoeSSH Windows x64 ನಲ್ಲಿ ಸ್ಥಳೀಯ SSH ಕೆಲಸಕ್ಕಾಗಿ ಉಚಿತ ಮತ್ತು ಮುಕ್ತ ಮೂಲದ Public Beta ಆಗಿದೆ. ನಿಮಗೆ ಅನುಮತಿ ಇರುವ ಸರ್ವರ್‌ಗೆ ಸಂಪರ್ಕಿಸಿ, ಹೋಸ್ಟ್ ಕೀಗಳನ್ನು ಪರಿಶೀಲಿಸಿ, ಸಂವಾದಾತ್ಮಕ ಟರ್ಮಿನಲ್ ಬಳಸಿ, SFTP ಮೂಲಕ ಫೈಲ್‌ಗಳನ್ನು ವರ್ಗಾಯಿಸಿ ಮತ್ತು ಸ್ಥಳೀಯ ಪೋರ್ಟ್ ಫಾರ್ವರ್ಡಿಂಗ್ ನಿರ್ವಹಿಸಿ. ಪ್ರೊಫೈಲ್‌ಗಳು ಮತ್ತು ಆದ್ಯತೆಗಳು ಡೀಫಾಲ್ಟ್ ಆಗಿ ಈ ಸಾಧನದಲ್ಲೇ ಉಳಿಯುತ್ತವೆ. JoeSSH ಖಾತೆ ಅಥವಾ ಹೋಸ್ಟ್ ಮಾಡಿದ ಸೇವೆ ಅಗತ್ಯವಿಲ್ಲ.","SSH ಹೋಸ್ಟ್ ಕೀ ಪರಿಶೀಲನೆ","ಸಂವಾದಾತ್ಮಕ ಟರ್ಮಿನಲ್","25 MiB ವರೆಗೆ SFTP ವರ್ಗಾವಣೆ","loopback ಮಾತ್ರದ ಸ್ಥಳೀಯ ಪೋರ್ಟ್ ಫಾರ್ವರ್ಡಿಂಗ್","ಸ್ಥಳೀಯ ಸಂಪರ್ಕ ಪ್ರೊಫೈಲ್‌ಗಳು","SSH","SFTP","ಸಂವಾದಾತ್ಮಕ ಟರ್ಮಿನಲ್","ಸ್ಥಳೀಯ ಪೋರ್ಟ್ ಫಾರ್ವರ್ಡಿಂಗ್","ಸ್ಥಳೀಯ ಸಂಪರ್ಕ ಪ್ರೊಫೈಲ್‌ಗಳು","Windows","Public Beta","95d2d66886fc4b9d638bd6afa8e02ec16ddff1dd7bb2a9d9591b7c961e4f245a","translation-draft","","","",""
"kk-KZ","kk-KZ","哈萨克语","Kazakh","Қазақша","false","","false","","JoeSSH","Windows x64 жүйесіндегі жергілікті SSH, SFTP және порттарды қайта бағыттауға арналған тегін, ашық бастапқы Public Beta.","JoeSSH — Windows x64 жүйесінде жергілікті SSH жұмысына арналған тегін әрі ашық бастапқы Public Beta. Рұқсатыңыз бар серверге қосылыңыз, хост кілттерін тексеріңіз, интерактивті терминалды пайдаланыңыз, файлдарды SFTP арқылы тасымалдаңыз және жергілікті порттарды қайта бағыттауды басқарыңыз. Профильдер мен параметрлер әдепкіде осы құрылғыда сақталады. JoeSSH тіркелгісі немесе орналастырылған қызмет қажет емес.","SSH хост кілтін тексеру","Интерактивті терминал","25 MiB дейінгі SFTP тасымалдары","Тек loopback арқылы жергілікті портты қайта бағыттау","Жергілікті қосылым профильдері","SSH","SFTP","Интерактивті терминал","Жергілікті портты қайта бағыттау","Жергілікті қосылым профильдері","Windows","Public Beta","ec9e3087296afca31c309948f71ad14c40ea9b5b371a1d3959c7ac328db1bece","translation-draft","","","",""
"km-KH","km-KH","高棉语","Khmer","ខ្មែរ","false","","false","","JoeSSH","Public Beta ឥតគិតថ្លៃ និងប្រភពបើកចំហ សម្រាប់ SSH, SFTP និងការបញ្ជូនច្រកក្នុង Windows x64។","JoeSSH គឺជា Public Beta ឥតគិតថ្លៃ និងប្រភពបើកចំហ សម្រាប់ការងារ SSH ក្នុងម៉ាស៊ីនលើ Windows x64។ ភ្ជាប់ទៅម៉ាស៊ីនមេដែលអ្នកមានសិទ្ធិប្រើ ពិនិត្យសោម៉ាស៊ីន ប្រើស្ថានីយអន្តរកម្ម ផ្ទេរឯកសារតាម SFTP និងគ្រប់គ្រងការបញ្ជូនច្រកក្នុងម៉ាស៊ីន។ ប្រវត្តិរូប និងចំណូលចិត្តត្រូវបានរក្សាទុកលើឧបករណ៍នេះតាមលំនាំដើម។ មិនត្រូវការគណនី JoeSSH ឬសេវាបង្ហោះទេ។","ពិនិត្យសោម៉ាស៊ីន SSH","ស្ថានីយអន្តរកម្ម","ផ្ទេរ SFTP រហូតដល់ 25 MiB","បញ្ជូនច្រកក្នុងម៉ាស៊ីនតាម loopback ប៉ុណ្ណោះ","ប្រវត្តិរូបការតភ្ជាប់ក្នុងម៉ាស៊ីន","SSH","SFTP","ស្ថានីយអន្តរកម្ម","បញ្ជូនច្រកក្នុងម៉ាស៊ីនតាម loopback","ប្រវត្តិរូបការតភ្ជាប់ក្នុងម៉ាស៊ីន","Windows","Public Beta","15a3f67f3e18bcc5df1b391eda6d36b48b28955c34bc65317cfcb7c24321e517","translation-draft","","","",""
"ko-KR","ko-KR","韩语","Korean","한국어","true","ko","false","","JoeSSH","Windows x64에서 로컬 우선 SSH, SFTP 및 포트 전달을 사용하는 무료 오픈 소스 Public Beta입니다.","JoeSSH는 Windows x64에서 로컬 SSH 작업을 위한 무료 오픈 소스 Public Beta입니다. 사용 권한이 있는 서버에 연결하고, 호스트 키를 검토하고, 대화형 터미널을 사용하고, SFTP로 파일을 전송하고, 로컬 포트 전달을 관리할 수 있습니다. 연결 프로필과 기본 설정은 기본적으로 이 장치에 저장됩니다. JoeSSH 계정이나 호스팅 서비스는 필요하지 않습니다.","SSH 호스트 키 검토","대화형 터미널","최대 25 MiB SFTP 전송","loopback 전용 로컬 포트 전달","로컬 연결 프로필","SSH","SFTP","대화형 터미널","로컬 포트 전달","로컬 연결 프로필","Windows","Public Beta","93450d926f7f0e6c2e70656c2e5af991f2914853aeba4184e12d0c1c85718809","translation-draft","","","",""
"lo-LA","lo-LA","老挝语","Lao","ລາວ","false","","false","","JoeSSH","Public Beta ຟຣີ ແລະເປີດແຫຼ່ງ ສຳລັບ SSH, SFTP ແລະການສົ່ງຕໍ່ພອດໃນ Windows x64.","JoeSSH ແມ່ນ Public Beta ຟຣີ ແລະເປີດແຫຼ່ງ ສຳລັບວຽກ SSH ທ້ອງຖິ່ນໃນ Windows x64. ເຊື່ອມຕໍ່ເຊີບເວີທີ່ທ່ານມີສິດໃຊ້, ກວດເບິ່ງກຸນແຈໂຮສຕ໌, ໃຊ້ສະຖານີປະຕິສຳພັນ, ໂອນໄຟລ໌ດ້ວຍ SFTP ແລະຈັດການການສົ່ງຕໍ່ພອດທ້ອງຖິ່ນ. ໂປຣໄຟລ໌ແລະຄ່າກຳນົດຈະຖືກເກັບໄວ້ໃນອຸປະກອນນີ້ໂດຍຄ່າເລີ່ມຕົ້ນ. ບໍ່ຕ້ອງການບັນຊີ JoeSSH ຫຼືບໍລິການໂຮສຕ໌.","ກວດກຸນແຈໂຮສຕ໌ SSH","ສະຖານີປະຕິສຳພັນ","ການໂອນ SFTP ເຖິງ 25 MiB","ສົ່ງຕໍ່ພອດທ້ອງຖິ່ນຜ່ານ loopback ເທົ່ານັ້ນ","ໂປຣໄຟລ໌ການເຊື່ອມຕໍ່ທ້ອງຖິ່ນ","SSH","SFTP","ສະຖານີປະຕິສຳພັນ","ສົ່ງຕໍ່ພອດທ້ອງຖິ່ນຜ່ານ loopback","ໂປຣໄຟລ໌ການເຊື່ອມຕໍ່ທ້ອງຖິ່ນ","Windows","Public Beta","d7700e3c207f62ae69f9aeda2e768e0f5452bd44a2111de1020efc019989ed9e","translation-draft","","","",""
"lv-LV","lv-LV","拉脱维亚语","Latvian","Latviešu","false","","false","","JoeSSH","Bezmaksas atvērtā pirmkoda Public Beta lokālam SSH, SFTP un portu pāradresācijai operētājsistēmā Windows x64.","JoeSSH ir bezmaksas atvērtā pirmkoda Public Beta lokālam SSH darbam operētājsistēmā Windows x64. Izveidojiet savienojumu ar serveri, kuru drīkstat izmantot, pārbaudiet resursdatora atslēgas, lietojiet interaktīvu termināli, pārsūtiet failus ar SFTP un pārvaldiet lokālu portu pāradresāciju. Profili un iestatījumi pēc noklusējuma paliek šajā ierīcē. JoeSSH konts vai mitināts pakalpojums nav vajadzīgs.","SSH resursdatora atslēgas pārbaude","Interaktīvs terminālis","SFTP pārsūtīšana līdz 25 MiB","Lokāla portu pāradresācija tikai caur loopback","Lokālie savienojumu profili","SSH","SFTP","Interaktīvs terminālis","Lokāla portu pāradresācija","Lokālie savienojumu profili","Windows","Public Beta","a0f4cad7749adab228f8c7d496990608506a057cc487542d634e1b69088db101","translation-draft","","","",""
"lt-LT","lt-LT","立陶宛语","Lithuanian","Lietuvių","false","","false","","JoeSSH","Nemokama atvirojo kodo Public Beta vietiniam SSH, SFTP ir prievadų persiuntimui sistemoje Windows x64.","JoeSSH yra nemokama atvirojo kodo Public Beta vietiniam SSH darbui sistemoje Windows x64. Prisijunkite prie serverio, kurį turite teisę naudoti, peržiūrėkite pagrindinio kompiuterio raktus, naudokite interaktyvų terminalą, perkelkite failus naudodami SFTP ir valdykite vietinį prievadų persiuntimą. Profiliai ir nuostatos pagal numatytuosius parametrus lieka šiame įrenginyje. JoeSSH paskyros ar priglobtos paslaugos nereikia.","SSH pagrindinio kompiuterio rakto peržiūra","Interaktyvus terminalas","SFTP perkėlimai iki 25 MiB","Vietinis prievadų persiuntimas tik per loopback","Vietiniai ryšio profiliai","SSH","SFTP","Interaktyvus terminalas","Vietinis prievadų persiuntimas","Vietiniai ryšio profiliai","Windows","Public Beta","275e14063c8970fb0a428835af8f6131e5065c28b621f2ed5b3558f3bbbfa859","translation-draft","","","",""
"mk-MK","mk-MK","马其顿语","Macedonian","Македонски","false","","false","","JoeSSH","Бесплатна Public Beta со отворен код за локален SSH, SFTP и препраќање порти на Windows x64.","JoeSSH е бесплатна Public Beta со отворен код за локална SSH работа на Windows x64. Поврзете се со сервер за кој имате дозвола, проверете ги клучевите на домаќинот, користете интерактивен терминал, пренесувајте датотеки со SFTP и управувајте со локалното препраќање порти. Профилите и поставките стандардно остануваат на овој уред. Не се потребни JoeSSH сметка или хостирана услуга.","Преглед на SSH клучот на домаќинот","Интерактивен терминал","SFTP преноси до 25 MiB","Локално препраќање порти само преку loopback","Локални профили за врска","SSH","SFTP","Интерактивен терминал","Локално препраќање порти","Локални профили","Windows","Public Beta","616032765bf8244e7866f48a903d0cb31a37036a86dced9661f838220c694049","translation-draft","","","",""
"ms-MY","ms-MY","马来语","Malay","Bahasa Melayu","false","","false","","JoeSSH","Public Beta percuma dan sumber terbuka untuk SSH tempatan, SFTP dan pemajuan port pada Windows x64.","JoeSSH ialah Public Beta percuma dan sumber terbuka untuk kerja SSH tempatan pada Windows x64. Sambung ke pelayan yang anda dibenarkan gunakan, semak kunci hos, gunakan terminal interaktif, pindahkan fail dengan SFTP dan urus pemajuan port tempatan. Profil dan pilihan disimpan pada peranti ini secara lalai. Akaun JoeSSH atau perkhidmatan dihoskan tidak diperlukan.","Semakan kunci hos SSH","Terminal interaktif","Pemindahan SFTP sehingga 25 MiB","Pemajuan port tempatan melalui loopback sahaja","Profil sambungan tempatan","SSH","SFTP","Terminal interaktif","Pemajuan port","Profil sambungan","Windows","Public Beta","2d93d2631292652f25ef20da66ae9382b2407cc8d4bfe8a52c2b17b8b8c45d86","translation-draft","","","",""
"ml-IN","ml-IN","马拉雅拉姆语","Malayalam","മലയാളം","false","","false","","JoeSSH","Windows x64-ൽ പ്രാദേശിക SSH, SFTP, പോർട്ട് ഫോർവേഡിംഗ് എന്നിവയ്ക്കുള്ള സൗജന്യ ഓപ്പൺ സോഴ്‌സ് Public Beta.","Windows x64-ൽ പ്രാദേശിക SSH പ്രവർത്തനത്തിനുള്ള സൗജന്യവും ഓപ്പൺ സോഴ്‌സുമായ Public Beta ആണ് JoeSSH. നിങ്ങൾക്ക് അനുമതിയുള്ള സെർവറിലേക്ക് കണക്റ്റ് ചെയ്യുക, ഹോസ്റ്റ് കീകൾ പരിശോധിക്കുക, ഇന്ററാക്ടീവ് ടെർമിനൽ ഉപയോഗിക്കുക, SFTP വഴി ഫയലുകൾ കൈമാറുക, പ്രാദേശിക പോർട്ട് ഫോർവേഡിംഗ് നിയന്ത്രിക്കുക. പ്രൊഫൈലുകളും മുൻഗണനകളും ഡിഫോൾട്ടായി ഈ ഉപകരണത്തിൽ തന്നെ സൂക്ഷിക്കും. JoeSSH അക്കൗണ്ടോ ഹോസ്റ്റ് ചെയ്ത സേവനമോ ആവശ്യമില്ല.","SSH ഹോസ്റ്റ് കീ പരിശോധന","ഇന്ററാക്ടീവ് ടെർമിനൽ","25 MiB വരെ SFTP കൈമാറ്റം","loopback മാത്രം ഉപയോഗിക്കുന്ന പ്രാദേശിക പോർട്ട് ഫോർവേഡിംഗ്","പ്രാദേശിക കണക്ഷൻ പ്രൊഫൈലുകൾ","SSH","SFTP","ഇന്ററാക്ടീവ് ടെർമിനൽ","പ്രാദേശിക പോർട്ട് ഫോർവേഡിംഗ്","പ്രാദേശിക കണക്ഷൻ പ്രൊഫൈലുകൾ","Windows","Public Beta","e92b22e72cffaff40a52e9134cc6e5d6f019eb63b6ce36204ed5c599e91ed900","translation-draft","","","",""
"nb-NO","nb-NO","挪威语博克马尔","Norwegian Bokmål","Norsk bokmål","false","","false","","JoeSSH","Gratis Public Beta med åpen kildekode for lokal SSH, SFTP og portvideresending på Windows x64.","JoeSSH er en gratis Public Beta med åpen kildekode for lokalt SSH-arbeid på Windows x64. Koble til en server du har tillatelse til å bruke, gjennomgå vertsnøkler, bruk en interaktiv terminal, overfør filer med SFTP og administrer lokal portvideresending. Profiler og innstillinger lagres som standard på denne enheten. Du trenger ikke JoeSSH-konto eller en hostet tjeneste.","Gjennomgang av SSH-vertsnøkkel","Interaktiv terminal","SFTP-overføringer opptil 25 MiB","Lokal portvideresending bare via loopback","Lokale tilkoblingsprofiler","SSH","SFTP","Interaktiv terminal","Lokal portvideresending","Lokale tilkoblingsprofiler","Windows","Public Beta","81cdeedb3adfd9a5ff622bb413206b4508be7648a715c4a5a129a9519631774e","translation-draft","","","",""
"es-ES","es-ES","西班牙语","Spanish","Español","true","es","false","","JoeSSH","Public Beta gratuita y de código abierto para SSH local, SFTP y reenvío de puertos en Windows x64.","JoeSSH es una Public Beta gratuita y de código abierto para trabajar con SSH local en Windows x64. Conéctate a un servidor que tengas autorizado a usar, revisa las claves del host, utiliza un terminal interactivo, transfiere archivos con SFTP y gestiona reenvíos de puertos locales. Los perfiles y las preferencias se guardan de forma predeterminada en este dispositivo. No necesitas una cuenta de JoeSSH ni un servicio alojado.","Revisión de la clave del host SSH","Terminal interactivo","Transferencias SFTP de hasta 25 MiB","Reenvío de puertos local solo mediante loopback","Perfiles de conexión locales","SSH","SFTP","Terminal interactivo","Reenvío de puertos","Perfiles de conexión","Windows","Public Beta","5af56e19c6b0987c616784e4f0f7a5ec51968b2ef5ab5b672588089d1c50be60","translation-draft","","","",""
"es-MX","es-MX","西班牙语拉丁美洲","Spanish (Latin America)","Español (Latinoamérica)","true","es","true","“西班牙语拉丁美洲”暂映射为 es-MX；提交前必须在 Partner Center 确认该区域 locale。","JoeSSH","Public Beta gratis y de código abierto para SSH local, SFTP y reenvío de puertos en Windows x64.","JoeSSH es una Public Beta gratis y de código abierto para trabajar con SSH local en Windows x64. Conéctate a un servidor que tengas autorizado a usar, revisa las claves del host, usa una terminal interactiva, transfiere archivos con SFTP y administra el reenvío de puertos local. Los perfiles y las preferencias se guardan de forma predeterminada en este dispositivo. No necesitas una cuenta de JoeSSH ni un servicio alojado.","Revisión de la clave del host SSH","Terminal interactiva","Transferencias SFTP de hasta 25 MiB","Reenvío de puertos local solo mediante loopback","Perfiles de conexión locales","SSH","SFTP","Terminal interactiva","Reenvío de puertos","Perfiles de conexión","Windows","Public Beta","638bb641b9680047bca17d4a619b34681b253fc80ca0317ab1e6e8825221804e","translation-draft","","","",""
"pl-PL","pl-PL","波兰语","Polish","Polski","false","","false","","JoeSSH","Bezpłatna, otwartoźródłowa Public Beta do lokalnego SSH, SFTP i przekierowania portów w Windows x64.","JoeSSH to bezpłatna, otwartoźródłowa Public Beta do lokalnej pracy z SSH w Windows x64. Połącz się z serwerem, do którego masz uprawnienia, sprawdź klucze hosta, użyj interaktywnego terminala, przesyłaj pliki przez SFTP i zarządzaj lokalnym przekierowaniem portów. Profile i preferencje są domyślnie przechowywane na tym urządzeniu. Konto JoeSSH ani hostowana usługa nie są wymagane.","Weryfikacja klucza hosta SSH","Interaktywny terminal","Transfery SFTP do 25 MiB","Lokalne przekierowanie portów tylko przez loopback","Lokalne profile połączeń","SSH","SFTP","Interaktywny terminal","Lokalne przekierowanie portów","Lokalne profile","Windows","Public Beta","8db68bda3531f3a2c0eae62add86d4dba5cf26a7deef2c49251da5e0ba2e02ce","translation-draft","","","",""
"pt-BR","pt-BR","葡萄牙语巴西","Portuguese (Brazil)","Português (Brasil)","true","pt-BR","false","","JoeSSH","Public Beta gratuita e de código aberto para SSH local, SFTP e encaminhamento de portas no Windows x64.","JoeSSH é uma Public Beta gratuita e de código aberto para trabalho com SSH local no Windows x64. Conecte-se a um servidor que você está autorizado a usar, revise as chaves do host, use um terminal interativo, transfira arquivos com SFTP e gerencie encaminhamentos de portas locais. Perfis e preferências ficam neste dispositivo por padrão. Não é necessária uma conta JoeSSH nem um serviço hospedado.","Revisão da chave do host SSH","Terminal interativo","Transferências SFTP de até 25 MiB","Encaminhamento de portas local somente por loopback","Perfis de conexão locais","SSH","SFTP","Terminal interativo","Encaminhamento de portas","Perfis de conexão","Windows","Public Beta","5d0c1572d0a5fe116446bef350b10072589a282b4188f81d6f5c9fe145493bf9","translation-draft","","","",""
"pt-PT","pt-PT","葡萄牙语葡萄牙","Portuguese (Portugal)","Português (Portugal)","true","pt-BR","false","","JoeSSH","Public Beta gratuita e de código aberto para SSH local, SFTP e reencaminhamento de portas no Windows x64.","JoeSSH é uma Public Beta gratuita e de código aberto para trabalho com SSH local no Windows x64. Ligue-se a um servidor que está autorizado a utilizar, reveja as chaves do anfitrião, utilize um terminal interativo, transfira ficheiros com SFTP e faça a gestão do reencaminhamento de portas local. Os perfis e as preferências ficam neste dispositivo por predefinição. Não é necessária uma conta JoeSSH nem um serviço alojado.","Revisão da chave do anfitrião SSH","Terminal interativo","Transferências SFTP até 25 MiB","Reencaminhamento de portas local apenas por loopback","Perfis de ligação locais","SSH","SFTP","Terminal interativo","Reencaminhamento de portas","Perfis de ligação","Windows","Public Beta","ff69192c059dc7ad03f837fa1c30a771ced721c4957a3efd57714f5506b166b2","translation-draft","","","",""
"ro-RO","ro-RO","罗马尼亚语","Romanian","Română","false","","false","","JoeSSH","Public Beta gratuită și open source pentru SSH local, SFTP și redirecționarea porturilor în Windows x64.","JoeSSH este o Public Beta gratuită și open source pentru lucrul local cu SSH în Windows x64. Conectează-te la un server pe care ai voie să îl folosești, verifică cheile gazdei, utilizează un terminal interactiv, transferă fișiere prin SFTP și gestionează redirecționările locale de porturi. Profilurile și preferințele rămân implicit pe acest dispozitiv. Nu este necesar un cont JoeSSH sau un serviciu găzduit.","Verificarea cheii gazdei SSH","Terminal interactiv","Transferuri SFTP de până la 25 MiB","Redirecționare locală a porturilor doar prin loopback","Profiluri locale de conexiune","SSH","SFTP","Terminal interactiv","Redirecționare locală a porturilor","Profiluri locale","Windows","Public Beta","82ebbbbd88b849cad71859c8e9fcaa67c106a7b597eed32caef7c8b026551cda","translation-draft","","","",""
"ru-RU","ru-RU","俄语","Russian","Русский","true","ru","false","","JoeSSH","Бесплатная Public Beta с открытым исходным кодом для локального SSH, SFTP и перенаправления портов в Windows x64.","JoeSSH — бесплатная Public Beta с открытым исходным кодом для локальной работы по SSH в Windows x64. Подключайтесь к серверу, которым вам разрешено пользоваться, проверяйте ключи узла, работайте в интерактивном терминале, передавайте файлы через SFTP и управляйте локальным перенаправлением портов. Профили и настройки по умолчанию остаются на этом устройстве. Учетная запись JoeSSH и размещенная служба не требуются.","Проверка ключа узла SSH","Интерактивный терминал","Передача по SFTP до 25 МиБ","Локальное перенаправление портов только через loopback","Локальные профили подключений","SSH","SFTP","Интерактивный терминал","Локальное перенаправление портов","Локальные профили","Windows","Public Beta","e8ac71640fece18c4e1eb922d12e11c0eda8c22b78faf78805da68b056c0fe6f","translation-draft","","","",""
"sk-SK","sk-SK","斯洛伐克语","Slovak","Slovenčina","false","","false","","JoeSSH","Bezplatná Public Beta s otvoreným zdrojovým kódom pre lokálne SSH, SFTP a presmerovanie portov vo Windows x64.","JoeSSH je bezplatná Public Beta s otvoreným zdrojovým kódom na lokálnu prácu cez SSH vo Windows x64. Pripojte sa k serveru, ktorý smiete používať, skontrolujte kľúče hostiteľa, používajte interaktívny terminál, prenášajte súbory cez SFTP a spravujte miestne presmerovania portov. Profily a predvoľby zostávajú predvolene na tomto zariadení. Účet JoeSSH ani hostovaná služba nie sú potrebné.","Kontrola kľúča hostiteľa SSH","Interaktívny terminál","Prenosy SFTP do 25 MiB","Miestne presmerovanie portov iba cez loopback","Miestne profily pripojenia","SSH","SFTP","Interaktívny terminál","Miestne presmerovanie portov","Miestne profily","Windows","Public Beta","63d3f24ee0ca4a8f88f7935b1d7c049388ae57d68d18a62a5a87c4f6b8592d37","translation-draft","","","",""
"sl-SI","sl-SI","斯洛文尼亚语","Slovenian","Slovenščina","false","","false","","JoeSSH","Brezplačna odprtokodna Public Beta za lokalni SSH, SFTP in posredovanje vrat v sistemu Windows x64.","JoeSSH je brezplačna odprtokodna Public Beta za lokalno delo SSH v sistemu Windows x64. Povežite se s strežnikom, ki ga smete uporabljati, preglejte ključe gostitelja, uporabite interaktivni terminal, prenašajte datoteke prek SFTP in upravljajte lokalno posredovanje vrat. Profili in nastavitve se privzeto shranjujejo v tej napravi. Račun JoeSSH ali gostovana storitev nista potrebna.","Pregled ključa gostitelja SSH","Interaktivni terminal","Prenosi SFTP do 25 MiB","Lokalno posredovanje vrat samo prek loopback","Lokalni profili povezav","SSH","SFTP","Interaktivni terminal","Lokalno posredovanje vrat","Lokalni profili","Windows","Public Beta","a5d07133faca3c281f6cb69e12b3df258398956e61f9ed35bcda0f72647c0376","translation-draft","","","",""
"sr-Latn-RS","sr-Latn-RS","塞尔维亚语拉丁","Serbian (Latin)","Srpski (latinica)","false","","false","","JoeSSH","Besplatna Public Beta otvorenog koda za lokalni SSH, SFTP i prosleđivanje portova na Windows x64.","JoeSSH je besplatna Public Beta otvorenog koda za lokalni SSH rad na Windows x64. Povežite se sa serverom za koji imate dozvolu, pregledajte ključeve hosta, koristite interaktivni terminal, prenesite datoteke pomoću SFTP-a i upravljajte lokalnim prosleđivanjem portova. Profili i podešavanja se podrazumevano čuvaju na ovom uređaju. JoeSSH nalog ili hostovana usluga nisu potrebni.","Pregled SSH ključa hosta","Interaktivni terminal","SFTP prenosi do 25 MiB","Lokalno prosleđivanje samo preko loopback-a","Lokalni profili veza","SSH","SFTP","Interaktivni terminal","Lokalno prosleđivanje portova","Lokalni profili","Windows","Public Beta","96d72456c1c4906da4a9c02f042c981adaa926393d735a7ce83768c1adc6256e","translation-draft","","","",""
"sv-SE","sv-SE","瑞典语","Swedish","Svenska","false","","false","","JoeSSH","Gratis Public Beta med öppen källkod för lokal SSH, SFTP och portvidarebefordran i Windows x64.","JoeSSH är en gratis Public Beta med öppen källkod för lokalt SSH-arbete i Windows x64. Anslut till en server som du har rätt att använda, granska värdnycklar, använd en interaktiv terminal, överför filer med SFTP och hantera lokal portvidarebefordran. Profiler och inställningar sparas som standard på den här enheten. Inget JoeSSH-konto eller någon värdtjänst behövs.","Granskning av SSH-värdnyckel","Interaktiv terminal","SFTP-överföringar upp till 25 MiB","Lokal portvidarebefordran endast via loopback","Lokala anslutningsprofiler","SSH","SFTP","Interaktiv terminal","Lokal portvidarebefordran","Lokala anslutningsprofiler","Windows","Public Beta","81e99ab64b42358590a29383b8ccb6b759592fcb054c57e3c55244514b9398b2","translation-draft","","","",""
"ta-IN","ta-IN","泰米尔语","Tamil","தமிழ்","false","","false","","JoeSSH","Windows x64 இல் உள்ளக SSH, SFTP மற்றும் துறைமுக முன்னனுப்பலுக்கான இலவச, திறந்த மூல Public Beta.","JoeSSH என்பது Windows x64 இல் உள்ளக SSH பணிக்கான இலவச திறந்த மூல Public Beta ஆகும். நீங்கள் அனுமதியுடன் பயன்படுத்தும் சேவையகத்துடன் இணைந்து, ஹோஸ்ட் விசைகளைச் சரிபார்த்து, ஊடாடும் முனையத்தைப் பயன்படுத்தி, SFTP மூலம் கோப்புகளை மாற்றி, உள்ளக துறைமுக முன்னனுப்பலை நிர்வகிக்கலாம். சுயவிவரங்களும் விருப்பங்களும் இயல்பாக இந்தச் சாதனத்தில் இருக்கும். JoeSSH கணக்கு அல்லது ஹோஸ்ட் செய்யப்பட்ட சேவை தேவையில்லை.","SSH ஹோஸ்ட் விசை சரிபார்ப்பு","ஊடாடும் முனையம்","25 MiB வரை SFTP மாற்றங்கள்","loopback மட்டும் உள்ளக துறைமுக முன்னனுப்பல்","உள்ளக இணைப்பு சுயவிவரங்கள்","SSH","SFTP","ஊடாடும் முனையம்","உள்ளக துறைமுக முன்னனுப்பல்","உள்ளக இணைப்பு சுயவிவரங்கள்","Windows","Public Beta","fb1a05ee1d918d490fc7ede42a350d2a3ccb1bb357aa7f5f0d1bbdeb0894866a","translation-draft","","","",""
